model,subject,freq_band,time_low,time_high,best_epoch,best_val_accuracy,best_test_accuracy,final_train_accuracy,final_val_accuracy,final_test_accuracy,final_train_loss,final_val_loss,final_test_loss
lstm,1.0,5-95Hz,20.0,460.0,2.0,0.0625,0.00625,0.6707317073170732,0.0375,0.0125,1.2398937780682633,4.569750118255615,5.313282251358032
EEGChannelNet,1.0,5-95Hz,20.0,460.0,5.0,0.05,0.025,0.5045731707317073,0.0375,0.0375,1.7402188588933247,7.021836137771606,6.44288272857666
lstm,2.0,5-95Hz,20.0,460.0,37.0,0.14375,0.13125,1.0,0.09375,0.1375,0.0074641311245902,5.934006929397583,6.036842584609985
EEGChannelNet,2.0,5-95Hz,20.0,460.0,29.0,0.19375,0.1375,0.9405487804878048,0.16875,0.11875,0.1865750425381631,8.340457773208618,9.004973363876342
lstm,3.0,5-95Hz,20.0,460.0,50.0,0.125,0.10625,1.0,0.10625,0.10625,0.0033171702766927,6.495526933670044,6.086161184310913
EEGChannelNet,3.0,5-95Hz,20.0,460.0,27.0,0.2875,0.23125,0.961890243902439,0.2125,0.2125,0.1422812701884384,6.179467487335205,6.115101289749146
lstm,4.0,5-95Hz,20.0,460.0,21.0,0.1125,0.06875,1.0,0.0875,0.05625,0.0127262215629765,7.434111499786377,8.002086305618286
EEGChannelNet,4.0,5-95Hz,20.0,460.0,39.0,0.20625,0.175,0.9847560975609756,0.13125,0.13125,0.0406550208025714,11.429500675201416,10.868553352355956
lstm,5.0,5-95Hz,20.0,460.0,40.0,0.15,0.1,1.0,0.1125,0.0875,0.0149242718272456,6.224726772308349,5.979780220985413
EEGChannelNet,5.0,5-95Hz,20.0,460.0,35.0,0.25,0.25625,0.8902439024390244,0.1375,0.2,0.3319747766888723,6.798908615112305,6.020816087722778
lstm,6.0,5-95Hz,20.0,460.0,36.0,0.1,0.1375,1.0,0.09375,0.15625,0.0066531673641648,6.534820508956909,6.715919160842896
EEGChannelNet,6.0,5-95Hz,20.0,460.0,33.0,0.2,0.10625,0.9390243902439024,0.1125,0.1375,0.1979061452353873,11.103753423690796,11.68636827468872
lstm,1.0,14-70Hz,20.0,460.0,31.0,0.08125,0.0375,0.9832317073170732,0.05,0.025,0.1663615172956048,7.579092216491699,8.705271434783935
EEGChannelNet,1.0,14-70Hz,20.0,460.0,32.0,0.05,0.03125,0.9542682926829268,0.025,0.01875,0.1427420851342925,14.79123296737671,14.88344612121582
lstm,2.0,14-70Hz,20.0,460.0,33.0,0.18125,0.1625,0.9984756097560976,0.15,0.16875,0.0470307336029846,5.15255618095398,4.493375515937805
EEGChannelNet,2.0,14-70Hz,20.0,460.0,37.0,0.31875,0.3125,0.9634146341463414,0.24375,0.24375,0.1218152730612129,6.714500188827515,6.595073699951172
lstm,3.0,14-70Hz,20.0,460.0,24.0,0.15,0.09375,1.0,0.11875,0.08125,0.0143706395131785,5.166102457046509,5.871909952163696
EEGChannelNet,3.0,14-70Hz,20.0,460.0,15.0,0.38125,0.39375,0.9161585365853658,0.325,0.35,0.2658077546554367,4.233699381351471,5.122161340713501
lstm,4.0,14-70Hz,20.0,460.0,8.0,0.15625,0.08125,1.0,0.14375,0.1125,0.0442653113476386,5.719245338439942,6.407257795333862
EEGChannelNet,4.0,14-70Hz,20.0,460.0,33.0,0.26875,0.2125,0.9527439024390244,0.23125,0.19375,0.1845675600385974,7.959450960159302,6.947450733184814
